DataSize,NumThreads,SerialTime,ParallelTime,Speedup
100000,1,0.6746,0.6703,1.00642
100000,4,0.6746,0.5566,1.212
100000,8,0.6746,0.5554,1.21462
100000,16,0.6746,0.5364,1.25764
200000,1,1.5125,1.3182,1.1474
200000,4,1.5125,1.1497,1.31556
200000,8,1.5125,1.0673,1.41713
200000,16,1.5125,1.0942,1.38229
300000,1,2.0788,1.9759,1.05208
300000,4,2.0788,1.6752,1.24093
300000,8,2.0788,1.638,1.26911
300000,16,2.0788,1.6919,1.22868
400000,1,2.7396,2.7981,0.979093
400000,4,2.7396,2.1858,1.25336
400000,8,2.7396,2.0487,1.33724
400000,16,2.7396,2.2058,1.242
600000,1,4.2186,3.8608,1.09268
600000,4,4.2186,4.3864,0.961745
600000,8,4.2186,5.1196,0.82401
600000,16,4.2186,4.5586,0.925416
800000,1,6.7594,6.2177,1.08712
800000,4,6.7594,4.7421,1.4254
800000,8,6.7594,4.7196,1.4322
800000,16,6.7594,4.789,1.41144
1000000,1,7.622,7.6452,0.996965
1000000,4,7.622,5.7458,1.32653
1000000,8,7.622,5.5495,1.37346
1000000,16,7.622,5.6265,1.35466
