DataSize,NumThreads,SerialTime,ParallelTime,Speedup
100000,0,0.3295,0.3295,1
100000,1,0.3295,0.4053,0.812978
100000,4,0.3295,0.2136,1.5426
100000,8,0.3295,0.1719,1.91681
100000,16,0.3295,0.1405,2.3452
200000,0,0.8039,0.8039,1
200000,1,0.8039,0.8234,0.976318
200000,4,0.8039,0.353,2.27734
200000,8,0.8039,0.241,3.33568
200000,16,0.8039,0.2643,3.04162
300000,0,1.2921,1.2921,1
300000,1,1.2921,1.4503,0.890919
300000,4,1.2921,0.7316,1.76613
300000,8,1.2921,0.4249,3.04095
300000,16,1.2921,0.4508,2.86624
400000,0,1.4996,1.4996,1
400000,1,1.4996,1.7075,0.878243
400000,4,1.4996,0.7063,2.12318
400000,8,1.4996,0.5943,2.5233
400000,16,1.4996,0.6423,2.33473
600000,0,2.1675,2.1675,1
600000,1,2.1675,3.0689,0.706279
600000,4,2.1675,1.3075,1.65774
600000,8,2.1675,0.9306,2.32914
600000,16,2.1675,0.7294,2.97162
800000,0,2.6518,2.6518,1
800000,1,2.6518,3.4852,0.760875
800000,4,2.6518,1.2959,2.0463
800000,8,2.6518,0.9389,2.82437
800000,16,2.6518,1.2685,2.0905
1000000,0,5.334,5.334,1
1000000,1,5.334,3.8186,1.39685
1000000,4,5.334,2.1045,2.53457
1000000,8,5.334,1.5679,3.402
1000000,16,5.334,1.7624,3.02655
